Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
1873,19580101,19981231,300,51.7956,10.238,"Grund, Bad",Niedersachsen
1875,19500101,20021231,492,48.9354,9.7364,"Gschwend, Kr. Ostalb",Baden-Württemberg
1886,20170101,20191231,444,48.4878,10.2607,Günzburg,Bayern
1890,18990101,19501231,30,53.7667,12.2167,Güstrow-Schabernack,Mecklenburg-Vorpommern
1891,18350101,20011231,73,51.8771,8.3577,Rheda-Wiedenbrück-Lintel,Nordrhein-Westfalen
1892,20070101,20121231,72,51.9298,8.3005,Gütersloh (Flugplatz),Nordrhein-Westfalen
1902,19850101,20001231,413,49.1273,10.7448,Gunzenhausen (Altmühlsee),Bayern
1920,19790101,20071231,100,51.4129,7.4895,Hagen-Fley,Nordrhein-Westfalen
1929,19470101,20001231,567,51.8597,10.3368,Hahnenklee,Niedersachsen
1957,18510101,20141231,93,51.5138,11.9499,Halle-Kröllwitz,Sachsen-Anhalt
1960,18510101,19661231,102,51.4831,11.9671,Halle (Stadt),Sachsen-Anhalt
1964,19370101,20181231,328,49.9445,6.3821,Olsdorf,Rheinland-Pfalz
1972,19120101,19611231,35,53.4793,10.2415,Hamburg-Bergedorf,Hamburg
1973,19470101,19541231,14,53.5598,9.9874,Hamburg-Botanischer Garten,Hamburg
1975,19360101,20191231,14,53.6332,9.9881,Hamburg-Fuhlsbüttel,Hamburg
1979,19380101,20061231,2,53.4213,10.1462,Hamburg-Kirchwerder,Hamburg
1981,19580101,20191231,3,53.4777,9.8957,Hamburg-Neuwiedenthal,Hamburg
1986,19790101,19871231,1,53.4699,10.1804,Hamburg-Reitbrook,Hamburg
1987,19560101,19991231,47,53.5467,9.9662,Hamburg-Sankt Pauli,Hamburg
1990,19510101,20061231,18,53.5853,10.1293,Hamburg-Wandsbek,Hamburg
1993,19280101,20061231,68,52.0848,9.3896,Hameln,Niedersachsen
2005,19610101,19941231,108,52.7199,10.5987,Hankensbüttel,Niedersachsen
2014,18560101,20191231,59,52.4644,9.6779,Hannover,Niedersachsen
2023,20040101,20191231,501,48.7918,10.7062,Harburg,Bayern
2039,19060101,20191231,201,51.9002,10.5699,"Harzburg, Bad",Niedersachsen
2044,18900101,20191231,404,51.652,11.1367,Harzgerode,Sachsen-Anhalt
2048,19510101,19591231,3,53.6342,9.6038,Haseldorf,Schleswig-Holstein
2053,19630101,19751231,461,51.6868,10.8631,Hasselfelde,Sachsen-Anhalt
2069,19160101,19721231,648,48.8629,13.067,Hausstein,Bayern
2074,18810101,20191231,518,48.3752,8.98,Hechingen,Baden-Württemberg
2078,19370101,20011231,10,54.2181,9.0853,Weddingstedt,Schleswig-Holstein
2080,18710101,20111231,110,49.4206,8.6676,Heidelberg,Baden-Württemberg
2081,18820101,19601231,561,49.3981,8.7251,Königstuhl,Baden-Württemberg
2083,19470101,19581231,110,49.4192,8.6051,Heidelberg-Grenzhof,Baden-Württemberg
2088,18510101,20031231,498,48.6765,10.1307,Heidenheim/Brenz,Baden-Württemberg
2092,19340101,19901231,496,50.1691,7.9949,Heidenrod-Mappershain,Hessen
2095,18720101,20021231,167,49.1448,9.2333,Heilbronn,Baden-Württemberg
2110,19380101,20191231,57,51.0411,6.1042,Heinsberg-Schleiden,Nordrhein-Westfalen
2115,18810101,20191231,4,54.175,7.892,Helgoland,Schleswig-Holstein
2120,18950101,20061231,140,52.2164,11.0219,Helmstedt,Niedersachsen
2122,19520101,20011231,2,53.9701,9.0095,"Helse, Kr. Dithmarschen",Schleswig-Holstein
2147,18810101,20071231,77,52.1264,8.6865,Herford,Nordrhein-Westfalen
2151,19390101,19901231,215,51.0048,10.1705,Herleshausen,Hessen
2158,19150101,20041231,350,48.8042,8.443,"Herrenalb, Bad",Baden-Württemberg
2159,19790101,19841231,434,48.5915,8.8541,Herrenberg,Baden-Württemberg
2160,19910101,20001231,360,50.8444,10.6904,Herrenhof,Thüringen
2166,19510101,19901231,344,51.0167,14.75,Herrnhut,Sachsen
2167,19480101,20111231,302,49.7672,7.3356,Niederwörresbach,Rheinland-Pfalz
2171,19310101,20191231,272,50.852,9.7377,"Hersfeld, Bad",Hessen
2173,19760101,20071231,60,51.589,7.1548,Herten,Nordrhein-Westfalen
2174,19920101,20191231,238,51.6255,10.3695,Herzberg,Niedersachsen
2201,19340101,20191231,1,54.575,13.1044,Hiddensee-Vitte,Mecklenburg-Vorpommern
2206,19050101,20071231,117,52.1408,9.8838,Hildesheim,Niedersachsen
2211,19310101,20181231,295,50.7371,7.6528,Hilgenroth,Rheinland-Pfalz
2221,19800101,19981231,1053,47.5408,10.4371,Hindelang-Unterjoch,Bayern
2223,19910101,20011231,300,50.3674,10.5687,Hindfeld,Thüringen
2225,18810101,19741231,385,50.9167,14.3667,Hinterhermsdorf,Sachsen
2226,19910101,20011231,668,50.4707,10.9106,Eisfeld-Waffenrod-Hinterrod,Thüringen
